team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
5,2001,100,0,1,1,0,6469,5776,1685,940,2819,1078,326,35,246,114,49,969,1000,558,56,60,19,55,1,124,162,1458,607,0,0.2917,0.3571,0.4881,1008.6479,6.2779,0.1963,0.0000,0.8452,69.9387,0.0000
5,2002,100,0,1,1,0,6173,5538,1414,1076,2282,922,291,26,175,76,31,689,722,509,41,60,31,34,1,161,162,1458,492,0,0.2553,0.3229,0.4121,723.3063,4.4577,0.1567,0.0000,0.7350,71.0280,0.0000
5,2003,100,0,1,1,0,6349,5701,1538,967,2421,1027,310,30,171,113,45,810,830,506,40,65,24,53,0,124,162,1458,511,0,0.2698,0.3334,0.4247,812.1355,4.9734,0.1549,0.0000,0.7581,71.5190,0.0000
5,2004,100,0,1,1,0,6503,5749,1620,951,2578,1067,338,25,190,75,53,833,872,580,49,75,40,56,3,137,163,1467,553,0,0.2818,0.3522,0.4484,906.0063,5.5407,0.1666,0.0000,0.8006,58.5938,0.0000
5,2005,100,0,1,1,0,6430,5764,1708,966,2772,1111,348,31,218,83,41,917,945,519,40,58,23,66,0,153,162,1458,597,0,0.2963,0.3566,0.4809,975.9279,6.0728,0.1846,0.0000,0.8376,66.9355,0.0000
5,2006,100,0,1,1,0,6481,5807,1601,1188,2641,1016,342,31,212,70,19,836,856,528,51,80,24,40,2,151,162,1458,585,0,0.2757,0.3422,0.4548,898.6517,5.4648,0.1791,0.0000,0.7970,78.6517,0.0000
5,2007,100,0,1,1,0,6381,5674,1495,1200,2375,994,303,17,181,73,37,733,761,567,34,74,14,52,0,145,162,1458,501,0,0.2635,0.3355,0.4186,797.7379,4.8654,0.1551,0.0000,0.7541,66.3636,0.0000
5,2008,100,0,1,1,0,6513,5723,1602,1189,2591,1030,353,21,198,86,37,870,913,615,47,95,30,49,1,142,162,1458,572,0,0.2799,0.3567,0.4527,933.2465,5.7542,0.1728,0.0000,0.8094,69.9187,0.0000
5,2009,100,0,1,1,0,6429,5713,1538,1237,2471,1007,313,34,184,73,28,784,803,567,52,75,19,53,2,117,162,1458,531,0,0.2692,0.3402,0.4325,854.8457,5.2552,0.1633,0.0000,0.7727,72.2772,0.0000
5,2010,100,0,1,1,0,6350,5644,1465,1255,2313,965,315,22,163,70,25,743,767,588,37,59,5,53,1,134,162,1458,500,0,0.2596,0.3329,0.4098,780.7570,4.7954,0.1502,0.0000,0.7427,73.6842,0.0000
5,2011,100,0,1,1,0,6277,5642,1466,1092,2274,999,286,21,160,58,24,707,731,519,50,60,15,41,0,114,162,1458,467,0,0.2598,0.3266,0.4030,750.6538,4.6379,0.1432,0.0000,0.7296,70.7317,0.0000
5,2012,100,0,1,1,0,6283,5554,1380,1189,2141,917,300,28,135,88,47,665,697,593,39,74,13,46,3,127,162,1458,463,0,0.2485,0.3266,0.3855,710.0459,4.3502,0.1370,0.0000,0.7121,65.1852,0.0000
5,2013,100,0,1,1,0,6426,5736,1494,1281,2412,984,295,22,193,91,26,726,762,599,46,37,8,46,0,125,162,1458,510,0,0.2605,0.3319,0.4205,813.2809,4.9378,0.1600,0.0000,0.7524,77.7778,0.0000
5,2014,100,0,1,1,0,6307,5699,1498,1169,2364,967,346,35,150,80,20,693,731,514,68,40,20,33,1,117,162,1458,531,0,0.2629,0.3264,0.4148,777.2726,4.7794,0.1520,0.0000,0.7412,80.0000,0.0000
5,2015,100,0,1,1,0,6252,5641,1477,1126,2394,929,348,31,169,56,28,709,737,508,71,45,12,45,1,115,161,1449,548,0,0.2618,0.3254,0.4244,778.2494,4.8150,0.1626,0.0000,0.7498,66.6667,0.0000
5,2016,100,0,1,1,0,6447,5739,1623,1189,2726,1020,334,38,231,151,53,920,947,593,60,50,10,52,3,116,162,1458,603,0,0.2828,0.3522,0.4750,972.4626,6.0401,0.1922,0.0000,0.8272,74.0196,0.0000
5,2017,100,0,1,1,0,6370,5689,1578,1219,2580,1008,339,30,201,109,50,863,901,520,47,101,15,45,0,114,162,1458,570,0,0.2774,0.3460,0.4535,899.9748,5.6054,0.1761,0.0000,0.7995,68.5535,0.0000
6,2000,100,0,1,1,0,6281,5650,1513,958,2472,981,297,43,192,92,55,771,804,510,42,50,27,44,0,134,162,1458,532,0,0.2678,0.3315,0.4375,807.3034,4.9573,0.1697,0.0000,0.7690,62.5850,0.0000
