player_id,league_id,streak_id,value,has_ended,started,ended
725,100,1,2,0,"2000-7-25",NULL
737,100,0,8,1,"2000-7-27","2000-8-7"
737,100,3,5,1,"2001-8-27","2001-9-18"
737,100,1,5,1,"2003-6-5","2003-6-13"
737,100,2,2,1,"2004-7-24","2004-7-26"
737,100,0,3,0,"2004-9-27",NULL
737,100,1,1,0,"2004-10-3",NULL
793,100,1,5,1,"2000-4-7","2000-4-15"
793,100,0,9,1,"2000-6-18","2000-7-5"
793,100,3,2,1,"2000-9-7","2000-9-10"
793,100,2,1,1,"2000-9-8","2000-9-10"
793,100,1,4,0,"2000-9-25",NULL
793,100,0,3,0,"2000-9-28",NULL
802,100,5,3,1,"2001-4-14","2001-6-30"
802,100,4,3,1,"2001-5-2","2001-8-25"
802,100,6,2,1,"2001-6-30","2003-4-4"
802,100,6,2,0,"2003-4-22",NULL
830,100,7,1,1,"2000-9-26","2002-9-13"
830,100,5,1,1,"2001-8-31","2002-6-13"
830,100,6,5,0,"2002-6-13",NULL
835,100,4,2,1,"2000-4-5","2000-5-20"
835,100,6,1,1,"2000-6-17","2000-6-22"
835,100,5,1,1,"2000-6-22","2000-9-7"
835,100,7,3,1,"2000-6-22","2000-9-7"
835,100,6,4,0,"2000-9-7",NULL
838,100,5,3,1,"2000-4-19","2000-7-17"
838,100,6,1,0,"2000-7-17",NULL
839,100,5,1,1,"2001-6-28","2001-8-4"
839,100,6,1,0,"2001-8-4",NULL
847,100,1,5,1,"2002-5-29","2002-6-3"
847,100,3,5,1,"2004-9-23","2004-9-29"
847,100,2,3,1,"2005-7-28","2005-7-31"
847,100,0,11,1,"2006-4-12","2006-4-27"
847,100,1,1,0,"2006-10-1",NULL
848,100,0,16,1,"2001-6-15","2001-7-12"
848,100,2,2,1,"2001-6-15","2001-6-19"
848,100,3,4,1,"2001-6-15","2001-6-21"
848,100,1,5,1,"2001-6-21","2001-6-27"
849,100,0,12,1,"2000-4-15","2000-4-29"
849,100,3,5,1,"2000-5-30","2000-6-4"
849,100,1,5,1,"2000-6-20","2000-6-25"
849,100,2,2,1,"2000-6-29","2000-7-1"
858,100,1,8,1,"2002-8-12","2002-8-21"
858,100,2,3,1,"2004-8-3","2004-8-7"
858,100,0,9,1,"2005-5-8","2005-5-20"
858,100,3,5,1,"2005-5-31","2005-6-5"
859,100,0,5,1,"2000-8-20","2000-8-25"
859,100,1,3,1,"2000-8-23","2000-8-26"
859,100,2,2,1,"2001-4-14","2001-4-16"
859,100,3,2,1,"2001-4-14","2001-4-16"
859,100,0,2,0,"2001-9-26",NULL
859,100,1,1,0,"2001-10-7",NULL
861,100,1,8,1,"2003-6-28","2003-7-7"
861,100,0,17,1,"2005-6-1","2005-6-21"
861,100,2,3,1,"2005-6-10","2005-6-14"
861,100,3,7,1,"2006-9-10","2006-9-19"
861,100,0,3,0,"2010-9-1",NULL
861,100,1,1,0,"2010-9-5",NULL
862,100,1,8,1,"2000-4-20","2000-4-29"
862,100,0,19,1,"2000-4-22","2000-5-14"
862,100,2,4,1,"2000-5-21","2000-5-26"
862,100,3,4,1,"2000-5-21","2000-5-26"
868,100,0,1,1,"2000-9-18","2000-9-22"
868,100,1,1,1,"2000-9-24","2000-9-26"
868,100,0,1,0,"2001-10-6",NULL
868,100,3,1,0,"2001-10-6",NULL
872,100,7,7,1,"2000-8-27","2001-5-5"
872,100,1,2,1,"2000-9-1","2000-9-13"
872,100,3,1,1,"2001-5-23","2001-5-28"
872,100,6,7,1,"2001-8-12","2002-4-27"
872,100,0,2,1,"2002-6-22","2004-7-2"
872,100,5,3,1,"2004-7-29","2004-8-24"
872,100,5,4,0,"2004-9-9",NULL
872,100,7,6,0,"2004-9-9",NULL
875,100,0,31,1,"2003-9-17","2004-4-27"
875,100,1,12,1,"2004-5-20","2004-6-2"
875,100,3,8,1,"2005-8-13","2005-8-21"
875,100,2,5,1,"2014-5-5","2014-5-10"
875,100,0,1,0,"2017-9-29",NULL
875,100,3,1,0,"2017-9-29",NULL
875,100,1,1,0,"2017-9-29",NULL
876,100,3,9,1,"2002-8-10","2002-8-20"
876,100,0,25,1,"2007-6-26","2007-7-25"
876,100,1,10,1,"2007-9-17","2007-9-27"
876,100,2,4,1,"2013-9-29","2014-4-4"
878,100,7,1,0,"2000-7-17",NULL
878,100,6,2,1,"2004-4-8","2004-5-30"
878,100,5,2,1,"2004-5-30","2004-8-4"
878,100,6,4,0,"2004-8-4",NULL
880,100,0,8,1,"2000-4-20","2000-5-3"
880,100,2,3,1,"2000-5-4","2000-5-8"
880,100,1,9,1,"2000-5-4","2000-5-19"
880,100,3,3,1,"2001-8-16","2001-8-23"
880,100,0,1,0,"2003-9-27",NULL
880,100,3,1,0,"2003-9-27",NULL
880,100,1,1,0,"2003-9-27",NULL
886,100,1,1,1,"2001-9-8","2002-4-21"
886,100,4,1,1,"2002-5-14","2003-7-27"
886,100,6,2,1,"2002-9-1","2002-9-11"
886,100,0,1,1,"2002-9-11","2002-9-16"
886,100,3,1,1,"2002-9-11","2002-9-16"
886,100,5,3,1,"2002-9-11","2002-9-28"
886,100,7,3,1,"2002-9-11","2002-9-28"
886,100,6,2,0,"2003-5-15",NULL
886,100,7,1,0,"2003-5-28",NULL
887,100,6,4,1,"2000-4-7","2000-4-29"
887,100,1,3,1,"2000-4-29","2000-5-16"
887,100,0,2,1,"2000-6-1","2000-6-12"
887,100,7,10,1,"2000-7-4","2000-10-1"
887,100,3,2,1,"2001-5-19","2001-5-30"
887,100,5,3,1,"2002-8-9","2002-9-5"
887,100,2,1,1,"2002-8-24","2002-9-5"
887,100,7,4,0,"2002-9-11",NULL
887,100,5,2,0,"2002-9-24",NULL
